"Label","Description","Units (preferred) or format","Category","Used In"
"RECO_NT_VUT_REF","Ecosystem Respiration, from Nighttime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation;","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_NT_VUT_REF","Ecosystem Respiration, from Nighttime partitioning method, reference selected from RECO versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_NT_VUT_SE","Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_NT_VUT_XX) / SQRT(40)); SE from 40 half-hourly RECO_NT_CUT_XX","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_NT_VUT_SE","Standard Error for Ecosystem Respiration, calculated as  (SD(RECO_NT_VUT_XX) / SQRT(40)). SE from 40 half-hourly RECO_NT_CUT_XX","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_NT_VUT_USTAR50","Ecosystem Respiration, from Nighttime partitioning method, based on NEE_VUT_USTAR50;","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_NT_VUT_USTAR50","Ecosystem Respiration, from Nighttime partitioning method, based on NEE_VUT_USTAR50","µmolCO2 m-2 s-1","","ICOS / FLUXNET"
"RECO_NT_VUT_XX","Ecosystem Respiration, from Nighttime partitioning method (with XX = 05, 16, 25, 50, 75, 84, 95);","µmolCO2 m-2 s-1","NIGHTTIME PARTITIONING","FLUXNET HH (half-hourly)"
"RECO_SR","Ecosystem Respiration, from Sundown Respiration partitioning method;","µmolCO2 m-2 s-1","SUNDOWN","FLUXNET HH (half-hourly)"
"RF","random forest","","",""
"Rg","Shortwave radiation, incoming","W m-2","","ReddyProc"
"Rg_f","Gap-filled shortwave radiation, incoming, typically gap-filled using MDS","W m-2","","ReddyProc"
"Rg_orig","Measured (not gap-filled) shortwave radiation, incoming, typically gap-filled using MDS","W m-2","","ReddyProc"
"RH","Relative humidity","%","",""
"RH","Ambient relative humidity","0","","EddyPro (_full_output_ file)"
"RH","Relative humidity, range 0-100;","%","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"RH","Relative humidity, range 0-100","%","","ICOS / FLUXNET"
"roll","Third rotation angle","° (degrees)","","EddyPro (_full_output_ file)"
"RSSI","Mean value of RSSI for LI‑7700, if present","#","","EddyPro (_full_output_ file)"
"SA_DIAG_FLAG","Flag for Sonic Anemometer (SA) instrumental diagnostics (0: negligible evidences of error; 2: severe evidences of error)","nondimensional","","ICOS"
"SC","Carbon Dioxide (CO2) storage flux","umolCO2 m-2 s-1","","ICOS"
"SC_OOR_FLAG","Flag for SC denoting values out of the physically plausible range (0: within range; 2: out of range)","nondimensional","","ICOS"
"SC_UNC","Estimated uncertainty for SC","umolCO2 m-2 s-1","","ICOS"
"SC_UNC_FLAG","SC QC flag for uncertainty  (0: none; 1: flux data for which the estimated uncertainty exceeds the respective NEE absolute value by 3 times)","nondimensional","","ICOS"
"SC_UNCLEANED","Carbon dioxide storage flux (not QC filtered)","umolCO2 m-2 s-1","","ICOS"
"SDP","Soil Dielectric Permittivity","unitless","",""
"SH","Sensible heat (H) storage flux (only if air temperature is measured along a profile)","W m-2","","ICOS"
"skw_kur","Hard flags for individual variables for skewness and kurtosis","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"skw_kur","Soft flags for individual variables for skewness and kurtosis test","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"SLE","Latent heat (LE) storage flux (only if air temperature and H2O are measured along a profile)","W m-2","","ICOS"
"SLE_OOR_FLAG","Flag for SLE denoting values out of the physically plausible range (0: within range; 2: out of range)","nondimensional","","ICOS"
"SLE_UNC","Estimated uncertainty for SLE","W m-2","","ICOS"
"SLE_UNC_FLAG","SLE QC flag for uncertainty  (0: none; 1: flux data for which the estimated uncertainty exceeds the respective NEE absolute value by 3 times)","nondimensional","","ICOS"
"SLE_UNCLEANED","Latent heat storage flux (not QC filtered)","W m-2","","ICOS"
"SN2O","Nitrous oxide (N2O) storage flux","nmol m-2 s-1","",""
"sonic_temperature","Mean temperature of ambient air as measured by the anemometer","K","","EddyPro (_full_output_ file)"
"specific_humidity","Ambient specific humidity on a mass basis","kg kg-1","","EddyPro (_full_output_ file)"
"spikes","Hard flags for individual variables for spike test","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"SW","Shortwave radiation","W m-2","",""
"SW_DIF","Shortwave radiation, diffuse incoming;","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"SW_DIF","Shortwave radiation, diffuse incoming","W m-2","","ICOS / FLUXNET"
"SW_IN","Shortwave radiation, incoming","W m-2","",""
"SW_IN_ERA","Shortwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data (negative values set to zero);","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"SW_IN_ERA","Shortwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data (negative values set to zero)","W m-2","","ICOS / FLUXNET"
"SW_IN_F","Shortwave radiation, incoming consolidated from SW_IN_F_MDS and SW_IN_ERA (negative values set to zero); SW_IN_F_MDS used if SW_IN_F_MDS_QC is 0 or 1","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"SW_IN_F","Shortwave radiation, incoming consolidated from SW_IN_F_MDS and SW_IN_ERA (negative values set to zero). SW_IN_F_MDS used if SW_IN_F_MDS_QC is 0 or 1","W m-2","","ICOS / FLUXNET"
"SW_IN_F_MDS","Shortwave radiation, incoming, gapfilled using MDS (negative values set to zero, e.g., negative values from instrumentation noise);","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"SW_IN_F_MDS","Shortwave radiation, incoming, gapfilled using MDS (negative values set to zero, e.g., negative values from instrumentation noise)","W m-2","","ICOS / FLUXNET"
"SW_IN_F_MDS_QC","Quality flag for SW_IN_F_MDS; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"SW_IN_F_MDS_QC","Quality flag for SW_IN_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"SW_IN_F_QC","Quality flag for SW_IN_F; 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"SW_IN_F_QC","Quality flag for SW_IN_F. 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","","ICOS / FLUXNET"
"SW_IN_POT","Shortwave radiation, incoming, potential (top of atmosphere);","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"SW_IN_POT","Shortwave radiation, incoming, potential (top of atmosphere)","W m-2","","ICOS / FLUXNET"
"SW_OUT","Shortwave radiation, outgoing","W m-2","",""
"SW_OUT","Shortwave radiation, outgoing;","W m-2","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"SW_OUT","Shortwave radiation, outgoing","W m-2","","ICOS / FLUXNET"
"SWC","Soil water content","%","",""
"SWC_F_MDS_#","Soil water content, gapfilled with MDS (numeric index ""#"" increases with the depth, 1 is shallowest);","%","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"SWC_F_MDS_#","Soil water content, gapfilled with MDS (numeric index ""#"" increases with the depth, 1 is shallowest)","%","","ICOS / FLUXNET"
"SWC_F_MDS_#_QC","Quality flag for SWC_F_MDS_#; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"SWC_F_MDS_#_QC","Quality flag for SWC_F_MDS_#. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"SWP","Soil water potential","kPa","",""
"T*","Scaling temperature","K","","EddyPro (_full_output_ file)"
"T_SONIC","Sonic temperature","deg C","","ICOS"
"T_SONIC_HD10_FLAG","Flag for the homogeneity test applied on differenced sonic temperature 0: negligible evidences of error, IF HD10_STAT1)","nondimensional","","ICOS"
"T_SONIC_HD10_STAT","Statistic of the homogeneity test applied on differenced sonic temperature (percentage of data exceeding ñ10?)","%","","ICOS"
"T_SONIC_HD5_FLAG","Flag for the homogeneity test applied on differenced sonic temperature (0: negligible evidences of error, IF HD5_STAT4)","nondimensional","","ICOS"
"T_SONIC_HD5_STAT","Statistic of the homogeneity test applied on differenced sonic temperature (percentage of data exceeding ñ5?)","%","","ICOS"
"T_SONIC_HF10_FLAG","Flag for the homogeneity test applied on sonic temperature fluctuations (0: negligible evidences of error, IF HF10_STAT1)","nondimensional","","ICOS"
"T_SONIC_HF10_STAT","Statistic of the homogeneity test applied on sonic temperature fluctuations (percentage of data exceeding ñ10?)","%","","ICOS"
"T_SONIC_HF5_FLAG","Flag for the homogeneity test applied on sonic temperature fluctuations (0: negligible evidences of error, IF HF5_STAT4)","nondimensional","","ICOS"
"T_SONIC_HF5_STAT","Statistic of the homogeneity test applied on sonic temperature fluctuations (percentage of data exceeding ñ5?)","%","","ICOS"
"T_SONIC_KID_FLAG","Flag for the T_SONIC_KID_STAT (0: negligible evidences of error, IF KID_STAT50)","nondimensional","","ICOS"
"T_SONIC_KID_STAT","Kurtosis Index of Differenced sonic temperature","nondimensional","","ICOS"
"T_SONIC_SIGMA","Standard deviation of sonic temperature","deg C","","ICOS"
"TA","Air temperature","°C","",""
"TA_ERA","Air temperature, downscaled from ERA, linearly regressed using measured only site data","deg C","MICROMETEOROLOGICAL","ICOS / FLUXNET / FLUXNET HH (half-hourly)"
"TA_F","Air temperature, consolidated from TA_F_MDS and TA_ERA; TA_F_MDS used if TA_F_MDS_QC is 0 or 1","deg C","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"TA_F","Air temperature, consolidated from TA_F_MDS and TA_ERA. TA_F_MDS used if TA_F_MDS_QC is 0 or 1","deg C","","ICOS / FLUXNET"
"TA_F_MDS","Air temperature, gapfilled using MDS method","deg C","MICROMETEOROLOGICAL","ICOS / FLUXNET / FLUXNET HH (half-hourly)"
"TA_F_MDS_QC","Quality flag for TA_F_MDS; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"TA_F_MDS_QC","Quality flag for TA_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"TA_F_QC","Quality flag for TA_F; 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"TA_F_QC","Quality flag for TA_F. 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","","ICOS / FLUXNET"
"Tair","Air temperature","°C","","ReddyProc"
"Tair_f","Gap-filled air temperature, typically gap-filled using MDS","°C","","ReddyProc"
"Tair_orig","Measured (not gap-filled) air temperature","°C","","ReddyProc"
"TAU","Momentum flux","kg m-1 s-2","",""
"Tau","Corrected momentum flux","kg m-1 s-2","","EddyPro (_full_output_ file)"
"TAU","Momentum flux","kg m-1 s-2","","ICOS"
"Tau_scf","Spectral correction factor for momentum flux","#","","EddyPro (_full_output_ file)"
"TAU_SSITC_TEST","Quality flagging for TAU according to classification scheme by Foken et al (2004) and based on the combination of the results of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (0: high quality; 1:intermediate qualit","nondimensional","","ICOS"
"TBIN","body temperature of sensor measuring incoming signal","deg C","instrument metrics","ETH raw data files"
"TBOUT","body temperature of sensor measuring outgoing signal","deg C","instrument metrics","ETH raw data files"
"Tdew","Ambient dew point temperature","K","","EddyPro (_full_output_ file)"
"TG","Grass temperature","deg C","",""
"time","Time of the end of the averaging period","HH:MM","","EddyPro (_full_output_ file)"
"time_lag","Hard flags for gas concentration for time lag test","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"time_lag","Soft flags for gas concentration for time lag test","HFu/v/w/ts/co2 /h2o/ch4/n2","","EddyPro (_full_output_ file)"
"TIMESTAMP","ISO timestamp - short format","YYYYMMDDHHMM","TIMEKEEPING","FLUXNET HH (half-hourly)"
"TIMESTAMP_END","ISO timestamp end of averaging period - short format","YYYYMMDDHHMM","TIMEKEEPING","FLUXNET HH (half-hourly)"
"TIMESTAMP_END","ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution)","yyyymmddHHMM","","ICOS"
"TIMESTAMP_END","ISO timestamp end of averaging period - short format","YYYYMMDDHHMM","","ICOS / FLUXNET"
"TIMESTAMP_START","ISO timestamp start of averaging period - short format","YYYYMMDDHHMM","TIMEKEEPING","FLUXNET HH (half-hourly)"
"TIMESTAMP_START","ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution)","yyyymmddHHMM","","ICOS"
"TIMESTAMP_START","ISO timestamp start of averaging period - short format","YYYYMMDDHHMM","","ICOS / FLUXNET"
"TIR","thermal infrared","°C","",""
"TKE","Turbulent kinetic energy","m2 s-2","","EddyPro (_full_output_ file)"
"TLAG_ACTUAL","actual time lag, typically between the turbulent departures of vertical wind and gas","s","","EddyPro"
"TM","tensiometer, measures soil moisture tension","hPa","",""
"TPANEL","Panel temperature","deg C","",""
"TRH","relative humidity temperature","","",""
"TS_F_MDS_#","Soil temperature, gapfilled with MDS (numeric index ""#"" increases with the depth, 1 is shallowest);","deg C","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"TS_F_MDS_#","Soil temperature, gapfilled with MDS (numeric index ""#"" increases with the depth, 1 is shallowest)","deg C","","ICOS / FLUXNET"
"TS_F_MDS_#_QC","Quality flag for TS_F_MDS_#; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"TS_F_MDS_#_QC","Quality flag for TS_F_MDS_#. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"u*","Friction velocity","m s-1","","EddyPro (_full_output_ file)"
"u_rot","Rotated u wind component (mean wind speed)","m s-1","","EddyPro (_full_output_ file)"
"U_SIGMA","Standard deviation of lateral velocity fluctuations (towards main-wind direction after coordinates rotation)","m s-1","","ICOS"
"u_unrot","Wind component along the u anemometer axis","m s-1","","EddyPro (_full_output_ file)"
"un_gas_flux","Uncorrected gas flux","µmol s-1 m-2(†)","","EddyPro (_full_output_ file)"
"un_H","Uncorrected sensible heat flux","W m-2","","EddyPro (_full_output_ file)"
"un_LE","Uncorrected latent heat flux","W m-2","","EddyPro (_full_output_ file)"
"un_Tau","Uncorrected momentum flux","kg m-1 s-2","","EddyPro (_full_output_ file)"
"used_records","Number of valid records used for current the averaging period","#","","EddyPro (_full_output_ file)"
"USTAR","Friction velocity","m s-1","",""
"USTAR","Friction velocity;","m s-1","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"USTAR","Friction velocity","m s-1","","ICOS / FLUXNET"
"Ustar_CUT_REF_Thres","USTAR threshold used for _CUT_REF_ variables","m s-1","","ReddyProc"
"V","Voltage","V","",""
"v_rot","Rotated v wind component (should be zero)","m s-1","","EddyPro (_full_output_ file)"
"V_SIGMA","Standard deviation of lateral velocity fluctuations (cross main-wind direction after coordinates rotation)","m s-1","","ICOS"
"v_unrot","Wind component along the v anemometer axis","m s-1","","EddyPro (_full_output_ file)"
"var_spikes","Number of spikes detected and eliminated for variable var","#","","EddyPro (_full_output_ file)"
"var_var","Variance of variable var","#NAME?","","EddyPro (_full_output_ file)"
"VEGH","vegetation height","m","VEGETATION",""
"VIN","incoming signal in volts or millivolts","V, mV","","ETH raw data files"
"VOUT","outgoing signal in volts or millivolts","V, mV","","ETH raw data files"
"VP","vapor pressure","","",""
"VPD","Vapor pressure deficit","kPa or hPa","",""
"VPD","Ambient water vapor pressure deficit","Pa","","EddyPro (_full_output_ file)"
"VPD_ERA","Vapor Pressure Deficit, downscaled from ERA, linearly regressed using measured only site data;","hPa","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"VPD_ERA","Vapor Pressure Deficit, downscaled from ERA, linearly regressed using measured only site data","hPa","","ICOS / FLUXNET"
"VPD_f","Gap-filled vapor pressure deficit, typically gap-filled using MDS","kPa or hPa","",""
"VPD_F","Vapor Pressure Deficit consolidated from VPD_F_MDS and VPD_ERA; VPD_F_MDS used if VPD_F_MDS_QC is 0 or 1","hPa","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"VPD_F","Vapor Pressure Deficit consolidated from VPD_F_MDS and VPD_ERA. VPD_F_MDS used if VPD_F_MDS_QC is 0 or 1","hPa","","ICOS / FLUXNET"
"VPD_F_MDS","Vapor Pressure Deficit, gapfilled using MDS;","hPa","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"VPD_F_MDS","Vapor Pressure Deficit, gapfilled using MDS","hPa","","ICOS / FLUXNET"
"VPD_F_MDS_QC","Quality flag for VPD_F_MDS; 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"VPD_F_MDS_QC","Quality flag for VPD_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","","ICOS / FLUXNET"
"VPD_F_QC","Quality flag for VPD_F; 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"VPD_F_QC","Quality flag for VPD_F. 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","","ICOS / FLUXNET"
"VPD_orig","Vapor pressure deficit calculated (not gap-filled) from measured TA and measured RH","kPa or hPa","",""
"w/var_cov","Covariance between w and variable var","#NAME?","","EddyPro (_full_output_ file)"
"W_HD10_FLAG","Flag for the homogeneity test applied on differenced vertical wind velocity (0: negligible evidences of error, IF HD10_STAT1)","nondimensional","","ICOS"
"W_HD10_STAT","Statistic of the homogeneity test applied on differenced vertical wind velocity (percentage of data exceeding æñ10?)","%","","ICOS"
"W_HD5_FLAG","Flag for the homogeneity test applied on differenced vertical wind velocity (0: negligible evidences of error, IF HD5_STAT4)","nondimensional","","ICOS"
"W_HD5_STAT","Statistic of the homogeneity test applied on differenced vertical wind velocity (percentage of data exceeding æñ5?)","%","","ICOS"
"W_HF10_FLAG","Flag for the homogeneity test applied on vertical wind velocity fluctuations (0: negligible evidences of error, IF HF10_STAT1)","nondimensional","","ICOS"
"W_HF10_STAT","Statistic of the homogeneity test applied on vertical wind velocity fluctuations (percentage of data exceeding æñ10?)","%","","ICOS"
"W_HF5_FLAG","Flag for the homogeneity test applied on vertical wind velocity fluctuations (0: negligible evidences of error, IF HF5_STAT4)","nondimensional","","ICOS"
"W_HF5_STAT","Statistic of the homogeneity test applied on vertical wind velocity fluctuations (percentage of data exceeding æñ5?)","%","","ICOS"
"W_KID_FLAG","Flag for the W_KID_STAT (0: negligible evidences of error, IF KID_STAT50)","nondimensional","","ICOS"
"W_KID_STAT","Kurtosis Index of Differenced vertical wind velocity","nondimensional","","ICOS"
"w_rot","Rotated w wind component (should be zero)","m s-1","","EddyPro (_full_output_ file)"
"W_SIGMA","Standard deviation of vertical velocity fluctuations","m s-1","","ICOS"
"w_unrot","Wind component along the w anemometer axis","m s-1","","EddyPro (_full_output_ file)"
"water_vapor_density","Ambient mass density of water vapor","kg m-3","","EddyPro (_full_output_ file)"
"WD","Wind direction;","Decimal degrees","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"WD","Wind direction","Decimal degrees","","ICOS / FLUXNET"
"wind_dir","Direction from which the wind blows, with respect to Geographic or Magnetic north","° (degrees)","","EddyPro (_full_output_ file)"
"wind_speed","Mean wind speed","m s-1","","EddyPro (_full_output_ file)"
"WS","Wind speed;","m s-1","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"WS","Wind speed","m s-1","","ICOS / FLUXNET"
"WS_ERA","Wind speed, downscaled from ERA, linearly regressed using measured only site data;","m s-1","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"WS_ERA","Wind speed, downscaled from ERA, linearly regressed using measured only site data","m s-1","","ICOS / FLUXNET"
"WS_F","Wind speed, consolidated from WS and WS_ERA; WS used if measured","m s-1","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"WS_F","Wind speed, consolidated from WS and WS_ERA. WS used if measured","m s-1","","ICOS / FLUXNET"
"WS_F_QC","Quality flag of WS_F; 0 = measured; 2 = downscaled from ERA","nondimensional","MICROMETEOROLOGICAL","FLUXNET HH (half-hourly)"
"WS_F_QC","Quality flag of WS_F. 0 = measured; 2 = downscaled from ERA","nondimensional","","ICOS / FLUXNET"
"WSECT_FLAG","Footprint quality flag indicating periods when wind was blowing from directions known to significantly affect the turbulent flow (0: negligible evidences of error; 2: severe evidences of error)","nondimensional","","ICOS"
"WSG","wind gust","","",""
"x_10%","Along-wind distance providing 10% (cumulative) contribution to turbulent fluxes","m","","EddyPro (_full_output_ file)"
"x_30%","Along-wind distance providing 30% (cumulative) contribution to turbulent fluxes","m","","EddyPro (_full_output_ file)"
"x_50%","Along-wind distance providing 50% (cumulative) contribution to turbulent fluxes","m","","EddyPro (_full_output_ file)"
"x_70%","Along-wind distance providing 70% (cumulative) contribution to turbulent fluxes","m","","EddyPro (_full_output_ file)"
"x_90%","Along-wind distance providing 90% (cumulative) contribution to turbulent fluxes","m","","EddyPro (_full_output_ file)"
"x_offset","Along-wind distance providing","m","","EddyPro (_full_output_ file)"
"x_peak","Along-wind distance providing the highest (peak) contribution to turbulent fluxes","m","","EddyPro (_full_output_ file)"
"yaw","First rotation angle","° (degrees)","","EddyPro (_full_output_ file)"
"ZL","Monin-Obukhov stability parameter","nondimensional","","ICOS"
"SF","calibration/sensitivity factor","uV (W m-2)-1","",""
"SEC","soil electrical conductivity","ds m-1","",""
"HFP","heat flux plate","","",""
"Lv","Latent heat of vaporization","J kg-1","","diive / bigleaf"
"TIMESTAMP_START","ISO timestamp start of averaging period - short format","YYYYMMDDHHMM","FLUXNET VARIABLES","ICOS"
"TIMESTAMP_END","ISO timestamp end of averaging period - short format","YYYYMMDDHHMM","FLUXNET VARIABLES","ICOS"
"CO2_F_MDS","CO2 mole fraction, gapfilled with MDS","µmolCO2 mol-1","FLUXNET VARIABLES","ICOS"
"CO2_F_MDS_QC","Quality flag for CO2_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"EBC_CF_METHOD","Method used to calculate the energy balance closure correction factor. 1 = ECB_CF Method 1, 2 = ECB_CF Method 2, 3 = ECB_CF Method 3. See general description for details","nondimensional","FLUXNET VARIABLES","ICOS"
"EBC_CF_N","Number of data points used to calculate energy closure balance correction factor. Driver data points within sliding window (ECB_CF Method 1) or number of ECB_CF data points (for ECB_CF Methods 2 and 3).","nondimensional","FLUXNET VARIABLES","ICOS"
"G_F_MDS","Soil heat flux","W m-2","FLUXNET VARIABLES","ICOS"
"G_F_MDS_QC","Quality flag of G_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_MEAN","Gross Primary Production, from Daytime partitioning method, average from GPP versions, each from corresponding NEE_CUT_XX version. average from 40 half-hourly GPP_DT_CUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_REF","Gross Primary Production, from Daytime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_DT_CUT_XX) / SQRT(40)). SE from 40 half-hourly GPP_DT_CUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_USTAR50","Gross Primary Production, from Daytime partitioning method, based on NEE_CUT_USTAR50","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_05","Gross Primary Production, from Daytime partitioning method, pecentile 05 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_16","Gross Primary Production, from Daytime partitioning method, pecentile 16 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_25","Gross Primary Production, from Daytime partitioning method, pecentile 25 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_50","Gross Primary Production, from Daytime partitioning method, pecentile 50 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_75","Gross Primary Production, from Daytime partitioning method, pecentile 75 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_86","Gross Primary Production, from Daytime partitioning method, pecentile 86 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_CUT_95","Gross Primary Production, from Daytime partitioning method, pecentile 95 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_MEAN","Gross Primary Production, from Daytime partitioning method, average from GPP versions, each from corresponding NEE_VUT_XX version. average from 40 half-hourly GPP_DT_VUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_REF","Gross Primary Production, from Daytime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_DT_VUT_XX) / SQRT(40)). SE from 40 half-hourly GPP_DT_VUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_USTAR50","Gross Primary Production, from Daytime partitioning method, based on NEE_VUT_USTAR50","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_05","Gross Primary Production, from Daytime partitioning method, pecentile 05 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_16","Gross Primary Production, from Daytime partitioning method, pecentile 16 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_25","Gross Primary Production, from Daytime partitioning method, pecentile 25 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_50","Gross Primary Production, from Daytime partitioning method, pecentile 50 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_75","Gross Primary Production, from Daytime partitioning method, pecentile 75 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_86","Gross Primary Production, from Daytime partitioning method, pecentile 86 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_DT_VUT_95","Gross Primary Production, from Daytime partitioning method, pecentile 95 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
